Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,reviewed_by
ctd_abs_oxygen,D00003,2016-10-09T00:00:00Z,2016-12-27T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_density,D00003,2016-10-09T00:00:00Z,2016-12-27T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00003,2016-10-09T00:00:00Z,2016-12-27T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
practical_salinity,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
practical_salinity,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_pressure,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_conductivity,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_temperature,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_density,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00003,2016-12-28T00:00:00Z,2017-03-28T13:00:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
