Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdmo_ghqr_imodem_instrument,D00001,2015-03-15T21:27:39Z,2015-10-08T23:12:39Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument,D00001,2015-10-08T23:12:39Z,2015-10-31T06:05:09Z,,NOT_AVAILABLE,,check: data gap,lori,
ctdmo_ghqr_imodem_instrument,D00001,2015-10-31T06:05:09Z,2015-11-26T10:05:09Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument,D00002,2015-11-14T21:07:31Z,2015-12-04T09:15:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument,D00002,2015-12-04T09:15:01Z,2015-12-12T18:07:31Z,,NOT_AVAILABLE,,check: data gap: 8 days 08:52:30,lori,
ctdmo_ghqr_imodem_instrument,D00002,2015-12-12T18:07:31Z,2016-01-06T22:15:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument,D00002,2016-01-06T22:15:01Z,2016-01-10T09:15:01Z,,NOT_AVAILABLE,,check: data gap: 3 days 11:00:00,lori,
ctdmo_ghqr_imodem_instrument,D00002,2016-01-10T09:15:01Z,2016-02-05T03:22:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument,D00002,2016-02-05T03:22:31Z,2016-02-09T15:15:01Z,,NOT_AVAILABLE,,check: data gap: 4 days 11:52:30,lori,
ctdmo_ghqr_imodem_instrument,D00002,2016-02-09T15:15:01Z,2016-03-11T22:15:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument,D00002,2016-03-11T22:15:01Z,2016-03-13T09:15:01Z,,NOT_AVAILABLE,,check: data gap: 1 days 11:00:00,lori,
ctdmo_ghqr_imodem_instrument,D00002,2016-03-13T09:15:01Z,2016-06-28T13:15:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument,D00002,2016-06-28T13:15:01Z,2016-07-04T07:15:01Z,,NOT_AVAILABLE,,check: data gap: 5 days 18:00:00,lori,
ctdmo_ghqr_imodem_instrument,D00002,2016-07-04T07:15:01Z,2016-11-08T09:15:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument,D00003,2016-10-27T01:52:00Z,2017-03-23T20:07:00Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument,D00003,2017-03-23T20:07:00Z,2017-04-04T20:07:00Z,,NOT_AVAILABLE,,check: data gap,lori,
ctdmo_ghqr_imodem_instrument,D00003,2017-04-04T20:07:00Z,2017-04-25T11:07:00Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
