Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
density,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_seawater_pressure,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:32Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_seawater_pressure,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_seawater_pressure,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_seawater_temperature,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_seawater_conductivity,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_seawater_conductivity,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:32Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
pressure,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
conductivity,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:32Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
practical_salinity,D00005,2015-05-03T15:00:03Z,2015-10-16T12:07:58Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,Leila,2017-05-17T00:00:00Z
practical_salinity,D00005,2015-05-03T15:00:03Z,2015-10-16T12:07:58Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
