Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_p_dcl_instrument_recovered,D00002,2015-08-15T20:00:03Z,2015-11-13T21:00:03Z,,AVAILABLE,,,lori,2017-05-04T00:00:00Z
ctdbp_p_dcl_instrument_recovered,D00002,2015-11-13T21:00:03Z,2015-11-20T19:00:03Z,,NOT_AVAILABLE,,,lori,2017-05-04T00:00:00Z
ctdbp_p_dcl_instrument_recovered,D00002,2015-11-20T19:00:03Z,2015-11-22T23:00:03Z,,AVAILABLE,,,lori,2017-05-04T00:00:00Z
ctdbp_p_dcl_instrument_recovered,D00002,2015-11-22T23:00:03Z,2015-12-07T17:00:03Z,,NOT_AVAILABLE,,,lori,2017-05-04T00:00:00Z
ctdbp_p_dcl_instrument_recovered,D00002,2015-12-07T17:00:03Z,2016-03-01T20:00:03Z,,AVAILABLE,,,lori,2017-05-04T00:00:00Z
ctdbp_p_dcl_instrument_recovered,D00002,2016-03-01T20:00:03Z,2016-04-13T19:00:03Z,,NOT_AVAILABLE,,,lori,2017-05-04T00:00:00Z
ctdbp_p_dcl_instrument_recovered,D00002,2016-04-13T19:00:03Z,2016-05-20T11:00:03Z,,AVAILABLE,,,lori,2017-05-04T00:00:00Z
ctdbp_p_dcl_instrument_recovered,D00002,2016-05-20T11:00:03Z,2016-06-07T13:00:03Z,,NOT_AVAILABLE,,,lori,2017-05-04T00:00:00Z
ctdbp_p_dcl_instrument_recovered,D00002,2016-06-07T13:00:03Z,2016-06-16T21:00:03Z,,AVAILABLE,,,lori,2017-05-04T00:00:00Z
ctdbp_p_dcl_instrument_recovered,D00002,2016-06-16T21:00:03Z,2016-07-19T00:00:00Z,,NOT_AVAILABLE,,,lori,2017-05-04T00:00:00Z
