Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
seawater_conductivity,D00002,2015-08-03T04:05:43Z,2015-08-28T12:00:00Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-04-10T00:00:00Z
seawater_conductivity,D00002,2015-08-03T04:05:43Z,2015-08-28T12:00:00Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-04-10T00:00:00Z
corrected_dissolved_oxygen,D00002,2015-08-03T04:05:43Z,2016-07-16T06:52:54Z,extracted from 1st file of 15 files,Global Range Values,,global min = 0.0 global_max = 400.0,Leila,2017-04-10T00:00:00Z
corrected_dissolved_oxygen,D00002,2015-08-03T04:05:43Z,2015-08-28T12:00:00Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-04-10T00:00:00Z
corrected_dissolved_oxygen,D00002,2015-08-03T04:05:43Z,2015-08-28T12:00:00Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-04-10T00:00:00Z
corrected_dissolved_oxygen,D00002,2015-08-03T04:05:43Z,2015-08-28T12:00:00Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-04-10T00:00:00Z
pressure,D00002,2015-08-03T04:05:43Z,2016-07-16T06:52:54Z,extracted from 1st file of 15 files,Global Range Values,,global min = None global_max = None,Leila,2017-04-10T00:00:00Z
pressure_temp,D00002,2015-08-03T04:05:43Z,2016-07-16T06:52:54Z,extracted from 1st file of 15 files,Global Range Values,,global min = None global_max = None,Leila,2017-04-10T00:00:00Z
seawater_temperature,D00002,2015-08-03T04:05:43Z,2016-07-16T06:52:54Z,extracted from 1st file of 15 files,Global Range Values,,global min = -2.0 global_max = 40.0,Leila,2017-04-10T00:00:00Z
seawater_temperature,D00002,2015-08-03T04:05:43Z,2015-08-28T12:00:00Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-04-10T00:00:00Z
seawater_temperature,D00002,2015-08-03T04:05:43Z,2015-08-28T12:00:00Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-04-10T00:00:00Z
conductivity,D00002,2015-08-03T04:05:43Z,2016-07-16T06:52:54Z,extracted from 1st file of 15 files,Global Range Values,,global min = None global_max = None,Leila,2017-04-10T00:00:00Z
practical_salinity,D00002,2015-08-28T12:00:00Z,2015-09-21T12:00:00Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-04-10T00:00:00Z
