Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
temperature,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
density,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
ctdmo_seawater_temperature,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
pressure_temp,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
inductive_id,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
serial_number,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
ctdmo_seawater_pressure,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
pressure,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
ctdmo_seawater_conductivity,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
conductivity,D00001,2015-03-17T19:45:01Z,2015-11-22T12:00:01Z,"These data were ingested twice, once using the wrong parser. Should be resolved by a purge and reingest of data.",FAIL,12368,,friedrich,2017-05-17T00:00:00Z
